Symbol,Name,Sector,Price,Price/Earnings,Earnings/Share,52 Week High,52 Week Low
MCD,McDonald's Corp.,Consumer Discretionary,158.97,23.83,6.36,178.7,124.36
MCK,McKesson Corp.,Health Care,150.23,11.68,22.74,178.86,133.82
MDT,Medtronic plc,Health Care,78.38,17.04,2.89,89.72,75.44
MRK,Merck & Co.,Health Care,54.73,13.75,1.4,66.8,53.63
MET,MetLife Inc.,Financials,44.28,8.52,0.63,56.58,44.58
MTD,Mettler Toledo,Health Care,601,35.56,14.24,697.26,459.34
MGM,MGM Resorts International,Consumer Discretionary,33.5,29.65,1.92,38.41,25.15
KORS,Michael Kors Holdings,Consumer Discretionary,60.03,14.29,3.31,69.95,32.38
MCHP,Microchip Technology,Information Technology,79.9,21.77,0.66,99.17,69.76
MU,Micron Technology,Information Technology,40,9.01,4.36,49.89,22.64
MSFT,Microsoft Corp.,Information Technology,85.01,25.76,2.97,96.07,63.22
MAA,Mid-America Apartments,Real Estate,85.39,14.38,2.86,110.95,86.95
MHK,Mohawk Industries,Consumer Discretionary,256.57,19.08,12.48,286.85,209.9
TAP,Molson Coors Brewing Company,Consumer Staples,74.51,17.66,9.27,102.14,75.79
MDLZ,Mondelez International,Consumer Staples,42.68,19.85,1.91,47.23,39.19
MON,Monsanto Co.,Materials,119.08,21.53,5.09,123.15,106.97
MNST,Monster Beverage,Consumer Staples,61.99,42.17,1.19,70.215,41.02
MCO,Moody's Corp,Financials,152.14,26.55,1.35,167.23,106.48
MS,Morgan Stanley,Financials,51.79,14.23,3.09,58.05,40.06
MSI,Motorola Solutions Inc.,Information Technology,98.74,19.03,-1.08,107.78,77.23
MYL,Mylan N.V.,Health Care,39.25,8.35,0.93,47.82,29.39
NDAQ,"Nasdaq, Inc.",Financials,75.21,17.78,4.32,83.29,65.98
NOV,National Oilwell Varco Inc.,Energy,32.64,-77.71,-6.4,41.895,29.9
NAVI,Navient,Financials,13.38,7.56,1.01,16.97,11.481
NTAP,NetApp,Information Technology,55.85,26.1,1.81,64.0599,37.43
NFLX,Netflix Inc.,Information Technology,250.1,200.08,1.25,286.81,138.26
NWL,Newell Brands,Consumer Discretionary,27.91,9.72,1.17,55.08,23.85
